player,team,appearances,minutesPlayed,rating,rating_promedio_equipo,rating_relativo,diferencia
Yerco Oyanedel,Universidad de Concepción,15,1182,6.7,6.752,0.992,-0.052
Nicolás Palma,Unión La Calera,11,967,6.73,6.785,0.992,-0.055
Joaquín Larrivey,Deportes Concepción,13,1060,6.65,6.711,0.991,-0.061
Norman Rodríguez,Deportes Concepción,12,1047,6.65,6.711,0.991,-0.061
Bruno Gutiérrez,Deportes La Serena,15,1209,6.74,6.804,0.991,-0.064
Matías Bórquez,Deportes Limache,9,810,6.88,6.948,0.99,-0.068
Ramón Martínez,Deportes Limache,11,972,6.88,6.948,0.99,-0.068
Gabriel Graciani,Ñublense,14,969,6.78,6.848,0.99,-0.068
Jhojan Valencia,Universidad Católica,13,742,6.96,7.034,0.989,-0.074
José Tiznado,Cobresal,12,1035,6.73,6.805,0.989,-0.075
Nicolás Avellaneda,Unión La Calera,15,1350,6.71,6.785,0.989,-0.075
Franco Troyansky,Audax Italiano,14,730,6.74,6.815,0.989,-0.075
Marco Collao,Audax Italiano,13,951,6.74,6.815,0.989,-0.075
Maicol León,Huachipato,15,700,6.73,6.805,0.989,-0.075
Manuel Rivera,Ñublense,15,1192,6.77,6.848,0.989,-0.078
Ariel Cáceres,Deportes Concepción,10,801,6.63,6.711,0.988,-0.081
Francisco Montes,Palestino,14,857,6.76,6.855,0.986,-0.095
Joaquín Soto,Unión La Calera,15,811,6.69,6.785,0.986,-0.095
Leonel González,Universidad de Concepción,11,847,6.65,6.752,0.985,-0.102
Álvaro Madrid,Colo-Colo,14,841,6.87,6.984,0.984,-0.114
Aaron Astudillo,Cobresal,13,954,6.69,6.805,0.983,-0.115
Dilan Zúñiga,Palestino,11,910,6.74,6.855,0.983,-0.115
Aldrix Jara,Deportes Concepción,15,891,6.59,6.711,0.982,-0.121
Fabián Hormazábal,Universidad de Chile,15,1320,6.86,6.992,0.981,-0.132
Vicente Bernedo,Universidad Católica,14,1260,6.9,7.034,0.981,-0.134
Juan Leiva,O'Higgins,13,910,6.72,6.854,0.981,-0.134
Federico Lanzillotta,Deportes La Serena,14,1204,6.67,6.804,0.98,-0.134
Jovany Campusano,Ñublense,14,1246,6.71,6.848,0.98,-0.138
David Retamal,Universidad de Concepción,10,800,6.61,6.752,0.979,-0.142
Guillermo Pacheco,Cobresal,15,1052,6.66,6.805,0.979,-0.145
Jeyson Rojas,Colo-Colo,14,1192,6.83,6.984,0.978,-0.154
Ignacio Jeraldino,Ñublense,15,995,6.69,6.848,0.977,-0.158
Branco Ampuero,Universidad Católica,15,1336,6.87,7.034,0.977,-0.164
Leandro Hernández,Colo-Colo,14,694,6.82,6.984,0.977,-0.164
Lucas Velásquez,Huachipato,13,909,6.64,6.805,0.976,-0.165
Israel Poblete,Universidad de Chile,14,1069,6.82,6.992,0.975,-0.172
Diego Ulloa,Colo-Colo,14,1163,6.81,6.984,0.975,-0.174
Manuel Fernández,Coquimbo Unido,12,1011,6.78,6.959,0.974,-0.179
Maximiliano Rodríguez,Huachipato,14,898,6.63,6.805,0.974,-0.175
Osvaldo Bosso,Ñublense,15,1337,6.66,6.848,0.973,-0.188
Fernando de Paul,Colo-Colo,9,790,6.79,6.984,0.972,-0.194
Marcelo Ortíz,Audax Italiano,12,1023,6.62,6.815,0.971,-0.195
Christopher Díaz,Unión La Calera,14,1178,6.59,6.785,0.971,-0.195
Maximiliano Guerrero,Universidad de Chile,15,1044,6.79,6.992,0.971,-0.202
Vicente Fernández,Everton de Viña del Mar,11,737,6.72,6.922,0.971,-0.202
Luis Pavez Muñoz,O'Higgins,11,852,6.65,6.854,0.97,-0.204
Vicente Espinoza,Palestino,13,1170,6.65,6.855,0.97,-0.205
Daniel Gutiérrez,Unión La Calera,13,1170,6.58,6.785,0.97,-0.205
