goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,rating,player,team,id,team_id
2,2,0,36,52.17,10,45.45,10,66.67,16,0,78.6,46,50.55,773,10,12,9,12,0,0,0,7,0,0,0,0,0,117,1,404,17,18,37.5,49,60.49,2,7,8,0,26,6,6,7.69,1,1,,0,0,0,7.2,Jorge Henríquez,Deportes Concepción,819072,3160
1,3,0,30,62.5,25,59.52,5,71.43,14,2,78.25,55,61.11,1221,11,6,2,14,0,0,0,17,2,0,0,0,0,77,0,482,10,8,21.62,79,45.93,17,88,8,0,4,2,0,25.0,0,0,,0,1,0,7.19,Nicolás Vargas,Huachipato,247055,3164
5,0,0,49,46.67,6,27.27,24,54.55,7,5,78.27,55,43.31,1287,18,3,27,15,0,0,0,21,2,0,0,0,0,118,7,389,32,25,30.49,24,55.81,6,6,7,0,39,13,14,12.82,0,4,,0,0,0,7.19,Jeisson Vargas,Deportes La Serena,805095,5031
1,3,0,49,59.76,15,65.22,10,71.43,21,0,85.3,64,60.95,1260,18,13,11,14,0,0,0,15,4,0,0,0,0,158,1,621,8,3,33.33,44,73.33,16,26,7,0,10,2,4,10.0,0,0,,0,0,0,7.18,Lorenzo Reyes,Ñublense,312376,7029
0,0,0,31,48.44,13,76.47,2,28.57,18,0,82.68,44,54.32,634,11,7,11,9,0,0,0,4,1,0,0,0,0,107,0,401,9,3,30.0,22,48.89,9,8,10,0,1,1,0,0.0,0,0,,0,1,0,7.16,Charles Aránguiz,Universidad de Chile,18304,3161
0,1,0,4,100.0,4,100.0,0,0.0,1,0,64.22,8,100.0,810,3,0,0,9,29,17,12,8,2,2,1,2,1,28,0,140,1,0,0.0,73,48.99,0,9,0,0,0,0,0,0.0,0,0,,0,0,0,7.16,Alejandro Santander,Cobresal,995285,3167
1,1,0,49,75.38,36,72.0,6,66.67,25,0,84.25,85,73.91,1065,18,5,5,12,0,0,0,12,1,0,0,0,0,53,0,460,1,1,14.29,36,55.38,13,51,3,0,6,1,2,16.67,0,0,,0,0,0,7.15,Enzo Ferrario,Audax Italiano,981010,3162
1,1,0,55,48.25,8,80.0,17,56.67,16,4,82.48,63,50.81,1127,22,9,31,15,0,0,0,19,3,0,0,0,0,196,2,532,43,24,37.5,47,66.2,7,6,9,1,18,6,7,5.56,1,3,,0,0,0,7.15,Bryan Carvallo,Cobresal,790000,3167
2,0,0,25,60.98,31,55.36,1,33.33,22,0,85.0,56,57.73,1032,2,8,1,13,0,0,0,6,2,0,0,0,0,64,1,527,3,1,25.0,30,40.54,9,70,6,0,3,2,1,66.67,0,0,,0,1,0,7.15,Nicolás Ramírez,Universidad de Chile,831012,3161
0,1,0,0,0.0,2,100.0,0,0.0,0,0,72.99,2,50.0,630,0,0,0,7,24,19,5,12,0,1,2,4,2,3,1,154,1,0,0.0,32,36.36,0,8,2,0,0,0,0,0.0,0,0,,0,0,0,7.14,José Sanhueza,Universidad de Concepción,978979,5034
