goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,rating,player,team,id,team_id
0,2,0,13,48.15,36,63.16,1,100.0,11,0,78.25,49,58.33,1169,1,10,0,13,0,0,0,9,1,0,0,0,0,36,0,367,3,0,0.0,50,46.73,13,89,5,0,5,1,2,0.0,0,0,,0,0,0,6.95,Diego Oyarzún,Everton de Viña del Mar,339891,5032
1,2,0,23,48.94,5,50.0,7,63.64,11,1,75.09,28,49.12,533,5,8,7,10,0,0,0,4,1,0,0,0,0,85,1,202,14,6,27.27,23,60.53,6,7,6,2,17,2,2,5.88,0,0,,0,1,0,6.95,Agustín Arce,Universidad de Chile,1388813,3161
0,4,0,30,62.5,13,65.0,5,71.43,15,1,86.43,43,63.24,649,10,6,4,12,0,0,0,12,2,0,0,0,0,52,0,312,2,0,0.0,21,63.64,7,17,6,0,2,0,0,0.0,0,0,,0,2,0,6.95,Bryan Ogaz,Universidad de Concepción,986462,5034
1,1,0,20,51.28,1,50.0,0,0.0,13,0,90.44,21,51.22,393,7,7,4,9,0,0,0,9,1,0,0,0,0,56,0,227,0,1,50.0,26,78.79,6,4,6,0,7,1,1,14.29,0,0,,0,1,0,6.94,Mario Sandoval,Deportes Concepción,991004,3160
1,4,1,53,60.92,3,42.86,8,66.67,25,1,78.54,56,59.57,1162,20,7,14,14,0,0,0,17,2,0,0,0,0,115,2,399,22,15,35.71,45,52.94,10,14,9,1,34,12,7,2.94,3,1,,0,4,0,6.94,Sebastián Gallegos,Palestino,116096,3157
3,2,0,40,46.51,4,25.0,15,51.72,16,2,81.97,44,43.14,531,9,14,17,10,0,0,0,5,0,0,0,0,0,84,3,200,10,5,35.71,0,0.0,0,2,2,0,20,9,4,15.0,0,0,,0,1,0,6.94,Lautaro Pastrán,Colo-Colo,1199243,3155
0,7,0,42,60.0,8,38.1,8,47.06,22,2,77.38,50,54.95,794,12,13,3,10,0,0,0,5,0,0,0,0,0,94,3,260,19,18,25.71,21,37.5,11,19,4,0,13,5,4,0.0,1,0,,0,1,0,6.94,Marcelo Morales,Universidad de Chile,1087387,3161
0,4,1,18,58.06,18,58.06,1,100.0,13,0,76.67,36,58.06,914,4,10,1,11,0,0,0,7,2,0,0,0,0,38,0,299,2,3,50.0,41,41.84,13,70,2,0,2,0,0,0.0,0,0,,0,1,0,6.94,Sebastián Valencia,Ñublense,863129,7029
1,0,0,22,61.11,2,33.33,3,75.0,16,0,85.71,24,57.14,395,3,4,6,6,0,0,0,8,1,0,0,0,0,48,0,162,2,1,16.67,16,76.19,6,9,3,0,8,1,3,12.5,1,1,,0,0,0,6.93,Vicente Zenteno,Audax Italiano,2456839,3162
0,1,0,10,47.62,7,70.0,3,100.0,4,0,81.37,17,54.84,410,5,4,5,6,0,0,0,5,1,0,0,0,0,30,1,131,8,10,45.45,6,40.0,4,9,2,0,1,0,0,0.0,0,0,,0,0,0,6.93,Tomás Asta-Buruaga,Universidad Católica,386220,3151
2,1,0,34,53.13,14,45.16,9,42.86,12,2,64.48,48,50.53,785,13,4,7,11,0,0,0,10,1,0,0,0,0,58,2,118,18,14,34.15,8,61.54,2,3,7,3,25,7,4,8.0,0,5,,0,0,0,6.93,César Munder,Palestino,931341,3157
0,2,0,3,42.86,8,88.89,1,100.0,0,0,62.24,11,68.75,1350,3,1,0,15,42,19,23,15,4,14,9,13,10,27,1,211,1,0,0.0,100,44.25,0,25,3,0,0,0,0,0.0,0,0,,2,0,0,6.93,Nicola Pérez,Ñublense,47441,7029
1,1,0,39,60.94,12,52.17,8,57.14,22,2,74.45,51,58.62,957,9,8,4,12,0,0,0,14,0,0,0,0,0,70,2,239,11,8,32.0,22,46.81,8,39,7,0,6,2,3,16.67,0,0,,0,0,0,6.93,Ian Garguez,Palestino,1797934,3157
0,1,0,10,41.67,24,63.16,1,20.0,6,0,82.18,34,54.84,662,3,8,1,8,0,0,0,9,0,0,0,0,0,27,0,226,1,0,0.0,41,64.06,8,59,1,0,3,1,0,0.0,0,0,,0,0,0,6.93,Enzo Roco,Palestino,105971,3157
0,3,1,36,61.02,47,78.33,3,75.0,29,0,81.26,83,69.75,1078,4,13,1,12,0,0,0,14,0,0,0,0,0,25,0,360,3,3,75.0,32,42.11,17,92,9,0,4,0,1,0.0,0,0,,1,0,0,6.93,Benjamín Gazzolo,Coquimbo Unido,986451,3165
2,2,0,48,52.17,11,44.0,16,57.14,21,1,70.18,59,50.43,797,11,9,19,13,0,0,0,11,0,0,0,0,0,85,3,200,17,9,40.91,6,42.86,5,6,4,4,33,8,7,6.06,0,2,,0,1,0,6.92,Martín Sarrafiore,O'Higgins,789677,3163
1,0,0,26,49.06,3,17.65,10,52.63,10,1,62.96,29,41.43,605,6,5,6,13,0,0,0,9,1,0,0,0,0,54,2,102,10,13,30.95,7,28.0,3,18,7,0,8,2,2,12.5,0,0,,0,1,0,6.92,Joaquín Montecinos,Deportes Limache,986599,331131
3,1,0,57,47.11,5,26.32,21,42.86,11,1,76.99,62,44.29,1176,25,7,24,14,0,0,0,20,3,0,0,0,0,118,1,251,17,5,9.26,15,71.43,7,0,5,0,40,14,12,7.5,0,7,,0,1,0,6.91,Julián Brea,Cobresal,974736,3167
0,1,0,26,46.43,10,47.62,7,46.67,7,0,82.91,36,46.75,986,12,5,7,11,0,0,0,8,1,0,0,0,0,119,0,456,9,3,20.0,30,48.39,18,26,10,0,5,1,1,0.0,0,0,,0,0,0,6.91,Benjamín Berríos,Everton de Viña del Mar,886912,5032
1,2,0,40,59.7,12,63.16,12,60.0,21,1,79.17,52,60.47,791,7,7,6,13,0,0,0,10,1,0,0,0,0,103,1,304,17,10,20.41,32,50.0,7,22,6,0,13,5,3,7.69,0,0,,0,1,0,6.91,Jason León,Palestino,1017320,3157
0,0,0,0,0.0,0,0.0,0,0.0,0,0,66.67,0,0.0,9,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0.0,1,50.0,0,0,0,0,0,0,0,0.0,0,0,,0,0,0,6.9,Vicente Villegas,Coquimbo Unido,1981736,3165
0,0,0,3,100.0,0,0.0,0,0.0,3,0,85.71,3,100.0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,6,1,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,,0,0,0,6.9,Benjamin Moreno,Cobresal,1835777,3167
0,0,0,10,83.33,2,28.57,1,100.0,4,0,83.58,12,63.16,178,5,2,0,4,0,0,0,3,1,0,0,0,0,9,0,56,2,1,100.0,2,22.22,3,5,0,0,0,0,0,0.0,0,0,,0,0,0,6.9,Esteban Páez,Universidad de Concepción,2284219,5034
0,2,1,20,64.52,35,70.0,0,0.0,14,0,73.91,55,67.9,810,6,9,0,9,0,0,0,5,1,0,0,0,0,12,0,221,2,0,0.0,20,29.41,16,72,1,0,5,1,2,0.0,0,1,,0,1,0,6.9,Hugo Magallanes,Everton de Viña del Mar,976168,5032
0,1,0,3,100.0,4,100.0,0,0.0,1,0,77.8,7,100.0,1260,3,0,0,14,39,29,9,15,4,7,9,6,9,22,0,340,0,0,0.0,100,53.19,0,9,0,0,0,0,0,0.0,0,0,,1,2,0,6.9,Vicente Bernedo,Universidad Católica,1016653,3151
0,3,0,27,56.25,31,64.58,4,100.0,15,0,85.06,58,60.42,1326,9,10,7,15,0,0,0,19,1,0,0,0,0,81,1,615,5,4,26.67,69,53.91,11,72,5,0,7,0,2,0.0,0,1,,0,0,0,6.89,Daniel Piña,Audax Italiano,1177235,3162
0,1,1,9,52.94,19,65.52,0,0.0,8,0,86.08,28,60.87,616,1,2,3,9,0,0,0,7,2,0,0,0,0,63,0,340,4,0,0.0,22,45.83,7,35,2,0,0,0,0,0.0,0,0,,0,1,0,6.89,Fernando Meza,Palestino,33943,3157
0,4,0,58,61.05,7,33.33,9,40.91,31,1,82.71,65,56.03,1003,18,12,9,12,0,0,0,14,1,0,0,0,0,66,2,287,15,7,25.0,19,50.0,12,33,5,1,9,7,2,0.0,0,1,,0,3,0,6.88,Felipe Faúndez,O'Higgins,1482408,3163
1,1,0,28,46.67,22,59.46,2,20.0,21,0,82.1,50,51.55,972,6,13,3,11,0,0,0,9,2,0,0,0,0,53,0,376,4,1,25.0,27,50.94,23,20,9,0,1,1,0,100.0,0,0,,1,0,0,6.88,Ramón Martínez,Deportes Limache,874853,331131
2,3,0,19,44.19,1,25.0,9,52.94,6,3,73.46,20,42.55,513,4,4,5,10,0,0,0,10,0,0,0,0,0,72,3,119,14,9,27.27,9,50.0,0,4,7,2,8,3,2,25.0,0,2,,0,0,0,6.88,Cristián Zavala,Coquimbo Unido,973986,3165
7,1,1,16,40.0,45,48.39,5,62.5,6,2,61.66,61,45.86,981,5,12,8,14,0,0,0,13,2,0,0,0,0,48,1,119,8,0,0.0,1,33.33,1,16,2,9,43,17,6,16.28,2,6,,0,0,0,6.88,Nelson Da Silva,Palestino,883928,3157
0,0,0,0,0.0,4,100.0,0,0.0,0,0,68.97,4,80.0,810,0,0,0,9,24,16,8,13,1,3,2,4,2,18,0,160,0,0,0.0,64,47.06,0,6,1,0,0,0,0,0.0,0,0,,0,0,0,6.88,Matías Bórquez,Deportes Limache,874123,331131
1,5,0,26,66.67,46,66.67,3,50.0,11,0,87.68,72,66.67,1336,12,7,1,15,0,0,0,16,4,0,0,0,0,23,0,626,1,0,0.0,47,54.02,24,90,3,0,5,1,2,20.0,1,0,,1,1,0,6.87,Branco Ampuero,Universidad Católica,819088,3151
0,3,0,4,80.0,7,100.0,0,0.0,1,0,68.32,11,91.67,1350,3,1,0,15,47,26,20,19,2,11,13,3,14,37,0,289,0,0,0.0,115,46.56,0,19,0,0,0,0,0,0.0,0,0,,1,2,0,6.87,Sebastián Pérez,Palestino,842274,3157
2,0,0,33,47.14,7,31.82,7,38.89,13,0,83.14,40,43.48,841,13,10,12,14,0,0,0,9,0,0,0,0,0,109,1,365,9,6,26.09,22,52.38,4,10,4,0,15,6,2,13.33,0,2,,0,0,0,6.87,Álvaro Madrid,Colo-Colo,889502,3155
1,2,0,25,50.0,6,40.0,7,53.85,9,1,71.62,31,47.69,670,9,5,4,13,0,0,0,6,2,0,0,0,0,51,1,159,9,7,16.28,24,48.0,9,21,10,0,7,2,3,14.29,0,1,,0,0,0,6.87,Nicolás Baeza,Everton de Viña del Mar,862702,5032
1,2,0,49,55.06,1,25.0,14,51.85,16,0,88.73,50,53.76,598,19,5,13,12,0,0,0,8,2,0,0,0,0,73,0,189,14,5,18.52,11,78.57,5,3,9,0,13,7,5,7.69,1,3,,0,0,0,6.87,Ethan Espinoza,Deportes Concepción,986529,3160
0,0,0,5,71.43,4,50.0,1,100.0,3,0,67.16,9,60.0,225,1,1,1,3,0,0,0,2,0,0,0,0,0,11,0,45,0,1,16.67,3,21.43,1,14,0,0,0,0,0,0.0,0,0,,0,0,0,6.87,Dilan Varas,Deportes Concepción,1836788,3160
0,1,0,41,63.08,31,55.36,6,85.71,24,0,75.45,72,59.5,1039,11,13,2,14,0,0,0,18,1,0,0,0,0,50,0,375,0,0,0.0,62,42.76,16,99,8,1,1,1,0,0.0,0,0,,0,1,0,6.86,Rafael Delgado,Deportes La Serena,799653,5031
1,2,0,14,42.42,6,35.29,1,25.0,2,2,85.0,20,40.0,546,11,8,7,8,0,0,0,7,0,0,0,0,0,78,3,170,10,3,13.04,6,100.0,1,1,2,0,9,2,6,11.11,0,0,,0,0,1,6.86,Bryan Rabello,O'Higgins,126376,3163
1,2,0,54,57.45,14,41.18,17,60.71,23,2,78.99,68,53.13,1320,14,15,10,15,0,0,0,7,3,0,0,0,0,125,2,440,12,9,21.43,26,35.62,25,38,6,1,16,4,8,6.25,1,0,,0,2,0,6.86,Fabián Hormazábal,Universidad de Chile,818897,3161
1,1,0,35,43.21,7,43.75,2,25.0,27,0,80.57,42,43.3,1008,6,12,5,12,0,0,0,19,3,0,0,0,0,75,0,340,1,0,0.0,23,40.35,11,16,24,0,15,4,3,6.67,0,0,,0,0,0,6.86,Agustin Nadruz,Cobresal,873620,3167
0,0,0,4,100.0,2,100.0,0,0.0,1,0,74.05,6,100.0,720,3,0,0,8,22,15,7,10,1,8,2,4,2,4,0,117,1,0,0.0,25,38.46,1,9,0,0,0,0,0,0.0,0,0,,1,0,0,6.85,Nicolás Araya,Deportes Concepción,830940,3160
2,1,0,39,52.0,10,30.3,9,47.37,17,0,75.67,49,45.37,692,13,5,12,11,0,0,0,8,1,0,0,0,0,95,1,199,9,4,18.18,10,50.0,5,5,10,3,16,4,7,12.5,0,4,,0,0,0,6.85,Michael Vadulli,Audax Italiano,912067,3162
1,1,1,15,60.0,27,47.37,1,100.0,11,0,79.55,42,51.22,981,3,6,3,11,0,0,0,13,1,0,0,0,0,56,1,428,4,0,0.0,36,37.11,10,54,3,0,9,1,2,11.11,0,1,,0,1,1,6.85,Miguel Brizuela,O'Higgins,990283,3163
6,6,0,44,35.2,36,49.32,10,43.48,9,0,74.92,80,40.4,1177,25,26,38,14,0,0,0,21,5,0,0,0,0,109,2,239,20,1,50.0,20,80.0,0,13,9,3,49,15,14,12.24,1,9,,0,0,0,6.84,Steffan Pino,Cobresal,937101,3167
2,0,0,23,37.7,8,53.33,8,40.0,7,2,77.37,31,40.79,558,8,9,14,12,0,0,0,9,0,0,0,0,0,39,2,106,13,9,20.93,3,33.33,2,6,5,4,16,6,4,12.5,0,5,,0,0,0,6.84,Mario Briceño,Huachipato,845174,3164
6,4,0,21,41.18,35,46.67,3,60.0,8,1,70.7,56,44.44,1095,11,18,8,15,0,0,0,17,1,0,0,0,0,64,3,193,9,3,75.0,16,72.73,4,19,4,6,39,22,5,15.38,0,7,,0,0,0,6.84,Lionel Altamirano,Huachipato,323439,3164
3,2,0,46,46.46,29,55.77,5,29.41,21,3,70.87,75,49.67,960,21,21,14,13,0,0,0,12,1,0,0,0,0,82,2,219,12,2,12.5,4,44.44,6,13,7,3,26,8,9,11.54,1,3,,0,0,0,6.84,Diego Rubio,Deportes La Serena,147570,5031
0,0,0,11,45.83,14,60.87,0,0.0,11,1,81.58,25,53.19,484,0,4,0,6,0,0,0,5,2,0,0,0,0,17,1,186,1,1,25.0,25,55.56,2,24,6,0,2,1,0,0.0,0,1,,0,0,0,6.83,Daniel González,Universidad Católica,986496,3151
1,1,0,36,45.0,4,26.67,11,36.67,21,3,79.04,40,42.11,1121,4,11,9,13,0,0,0,14,0,0,0,0,0,109,4,313,21,13,30.95,18,52.94,11,21,6,0,16,3,6,6.25,1,4,,0,0,1,6.83,Esteban Matus,Audax Italiano,1177236,3162
2,0,0,16,47.06,4,26.67,4,33.33,3,0,71.79,20,40.82,380,9,0,6,10,0,0,0,7,1,0,0,0,0,42,0,84,8,1,25.0,3,23.08,3,5,4,0,10,6,2,20.0,0,1,,0,0,0,6.83,Nicolás Stefanelli,Deportes La Serena,582220,5031
2,0,0,19,55.88,10,40.0,6,85.71,4,0,78.29,29,49.15,494,9,6,8,11,0,0,0,4,1,0,0,0,0,41,1,119,6,0,0.0,7,63.64,4,4,0,1,13,5,1,15.38,0,1,,0,0,0,6.83,Gonzalo Tapia,Palestino,1125923,3157
1,2,0,51,56.67,5,29.41,15,53.57,16,2,74.75,56,52.34,880,20,7,14,14,0,0,0,14,2,0,0,0,0,96,1,228,18,9,24.32,16,41.03,5,10,5,1,25,7,9,4.0,0,0,,0,1,0,6.83,Agustín Urzi,Universidad de Concepción,965775,5034
1,1,0,42,52.5,16,53.33,5,25.0,31,1,80.68,58,52.73,1192,6,7,8,14,0,0,0,8,0,0,0,0,0,108,1,380,12,11,23.4,15,33.33,9,30,8,1,10,2,3,10.0,0,5,,0,0,0,6.83,Jeyson Rojas,Colo-Colo,1022259,3155
1,1,0,40,47.06,9,45.0,9,36.0,15,0,81.1,49,46.67,1163,16,12,11,14,0,0,0,17,2,0,0,0,0,85,1,382,8,3,25.0,24,45.28,12,16,9,0,12,1,4,8.33,0,0,,0,0,0,6.83,Santiago Silva,Huachipato,1381958,3164
1,1,1,34,56.67,13,76.47,1,25.0,28,0,81.99,47,61.04,589,5,12,3,11,0,0,0,14,1,0,0,0,0,51,0,223,3,0,0.0,13,46.43,16,16,11,0,3,1,2,33.33,0,0,,0,0,1,6.83,Sebastián Díaz,Deportes La Serena,844271,5031
0,1,0,2,100.0,12,92.31,0,0.0,0,0,68.0,14,93.33,720,2,0,0,8,25,13,12,9,2,11,4,6,4,12,0,136,0,0,0.0,47,43.12,0,12,0,0,0,0,0,0.0,0,0,,0,0,0,6.83,Christian Bravo,Huachipato,1482395,3164
0,1,0,21,46.67,4,44.44,2,40.0,18,1,85.99,25,46.3,733,1,7,1,13,0,0,0,7,1,0,0,0,0,63,0,270,7,0,0.0,30,63.83,13,20,14,0,7,1,2,0.0,0,0,,0,1,0,6.82,Nicolás Meza,Palestino,1064150,3157
0,3,1,45,63.38,15,39.47,5,100.0,36,0,81.21,60,55.05,1058,4,9,4,13,0,0,0,16,0,0,0,0,0,89,0,402,2,0,0.0,45,52.33,17,42,15,0,6,0,3,0.0,0,0,,0,0,0,6.82,Francis Mac Allister,Deportes La Serena,1089454,5031
2,4,0,43,46.74,6,50.0,24,55.81,8,2,84.58,49,47.12,694,11,12,11,14,0,0,0,11,0,0,0,0,0,86,2,214,15,1,7.69,8,66.67,1,1,7,0,17,5,6,11.76,0,1,,0,0,0,6.82,Leandro Hernández,Colo-Colo,1601711,3155
0,1,0,48,52.17,12,48.0,5,45.45,34,2,82.87,60,51.28,1069,9,18,10,14,0,0,0,5,2,0,0,0,0,113,0,479,8,5,29.41,19,45.24,15,17,11,0,8,3,4,0.0,0,2,,0,0,0,6.82,Israel Poblete,Universidad de Chile,589542,3161
0,1,0,17,53.13,2,50.0,6,60.0,6,1,89.43,19,52.78,413,5,3,5,10,0,0,0,4,0,0,0,0,0,58,1,203,9,4,26.67,9,60.0,1,3,3,0,9,1,5,0.0,0,2,,0,0,0,6.82,Pablo Parra,Universidad de Concepción,973567,5034
0,0,0,22,47.83,6,50.0,7,36.84,9,1,76.34,28,48.28,268,6,10,3,10,0,0,0,1,0,0,0,0,0,48,3,100,7,6,30.0,9,56.25,5,4,1,1,11,3,3,0.0,1,0,,0,0,0,6.82,Alex Valdés,Ñublense,1197415,7029
1,2,0,18,50.0,28,52.83,1,50.0,9,0,84.91,46,51.69,990,8,8,1,11,0,0,0,12,3,0,0,0,0,31,0,512,1,0,0.0,33,40.74,16,47,8,0,12,3,3,8.33,0,1,,0,1,0,6.82,Rodrigo Caseres,Unión La Calera,1108449,48242
0,0,0,30,68.18,16,57.14,4,80.0,25,0,77.97,46,63.89,834,1,3,2,11,0,0,0,12,4,0,0,0,0,48,0,230,4,2,22.22,22,38.6,14,42,7,0,2,0,1,0.0,1,1,,0,0,0,6.82,Felipe Campos,Ñublense,333405,7029
1,2,1,7,46.67,16,53.33,0,0.0,6,0,74.44,23,51.11,582,1,6,1,12,0,0,0,4,1,0,0,0,0,20,0,166,2,0,0.0,15,31.91,3,29,2,0,3,1,1,33.33,0,0,,0,0,0,6.82,Diego Céspedes,Ñublense,973992,7029
0,2,0,50,52.08,28,63.64,16,55.17,17,1,82.16,78,55.71,1163,17,17,8,14,0,0,0,9,0,0,0,0,0,100,1,373,6,8,14.04,11,37.93,13,31,9,1,8,1,3,0.0,0,1,,0,1,0,6.81,Diego Ulloa,Colo-Colo,1176822,3155
0,0,0,17,65.38,5,31.25,3,60.0,9,0,75.68,22,52.38,501,5,6,1,7,0,0,0,10,0,0,0,0,0,35,1,140,10,5,27.78,15,51.72,9,12,1,0,4,0,3,0.0,0,0,,0,0,1,6.81,Raimundo Rebolledo,Audax Italiano,804983,3162
1,0,0,14,51.85,9,64.29,0,0.0,11,0,83.33,23,56.1,488,3,5,1,9,0,0,0,14,1,0,0,0,0,49,0,220,2,1,25.0,15,50.0,6,7,5,1,5,1,1,20.0,1,0,,0,0,0,6.81,César Fuentes,Deportes Limache,247073,331131
0,3,0,16,64.0,29,60.42,2,66.67,13,0,83.38,45,61.64,731,1,6,0,9,0,0,0,11,2,0,0,0,0,18,0,316,1,0,0.0,35,47.3,8,77,3,1,4,0,0,0.0,1,0,,0,0,0,6.81,Nicolás Garrido,O'Higgins,1002945,3163
1,1,0,37,48.68,6,40.0,3,50.0,17,2,77.8,43,47.25,873,17,21,7,14,0,0,0,9,2,0,0,0,0,112,3,319,9,12,32.43,17,45.95,11,7,10,0,12,3,3,8.33,1,0,,0,1,0,6.81,Jimmy Martínez,Universidad Católica,588796,3151
4,6,0,54,44.63,34,40.48,19,55.88,14,0,73.56,88,42.93,1108,22,29,23,15,0,0,0,19,1,0,0,0,0,76,0,217,10,4,50.0,6,60.0,8,16,2,3,24,16,4,16.67,0,5,,0,0,0,6.81,Felipe Chamorro,Deportes La Serena,1063335,5031
3,0,1,16,35.56,34,41.98,5,38.46,3,1,77.61,50,39.68,964,8,8,12,11,0,0,0,16,4,0,0,0,0,65,1,156,6,3,100.0,5,55.56,1,13,3,4,32,17,9,9.38,0,7,,0,0,0,6.8,Cecilio Waterman,Universidad de Concepción,159931,5034
0,0,0,0,0.0,0,0.0,0,0.0,0,1,86.67,0,0.0,45,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,13,1,0,0.0,1,50.0,0,0,0,0,1,0,0,0.0,0,0,,0,0,0,6.8,Joe Abrigo,Palestino,868786,3157
0,0,0,5,62.5,0,0.0,2,66.67,1,0,81.82,5,55.56,78,2,1,2,1,0,0,0,0,0,0,0,0,0,9,0,27,3,0,0.0,2,100.0,1,0,0,0,0,0,0,0.0,0,0,,0,0,0,6.8,Elias Rojas,Universidad de Chile,2115322,3161
0,0,0,0,0.0,1,100.0,0,0.0,0,0,75.0,1,50.0,53,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,42,0,0,0.0,5,35.71,1,3,1,0,0,0,0,0.0,0,0,,0,0,0,6.8,Benjamín Mellado,Huachipato,1836787,3164
0,0,0,1,50.0,1,33.33,1,100.0,0,0,63.64,2,40.0,45,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,7,0,0,0.0,3,75.0,0,1,1,0,0,0,0,0.0,0,0,,0,0,0,6.8,Martín Valdés,Audax Italiano,1879799,3162
0,1,0,26,61.9,12,66.67,2,40.0,15,0,73.43,38,63.33,490,10,6,3,8,0,0,0,11,0,0,0,0,0,36,0,152,4,1,16.67,12,37.5,5,16,4,0,7,1,3,0.0,0,1,,0,0,0,6.8,Yonathan Rodríguez,Deportes Concepción,1197454,3160
0,0,0,1,100.0,2,66.67,0,0.0,0,0,69.47,3,75.0,790,1,0,0,9,13,6,7,5,0,11,1,4,1,4,0,157,0,0,0.0,43,39.81,0,5,0,0,0,0,0,0.0,0,0,,0,0,0,6.79,Fernando de Paul,Colo-Colo,818874,3155
2,1,0,32,48.48,12,44.44,18,56.25,10,2,74.85,44,47.31,1044,4,8,6,15,0,0,0,6,0,0,0,0,0,113,4,247,16,20,38.46,9,42.86,4,11,6,0,26,10,10,7.69,0,0,,0,1,0,6.79,Maximiliano Guerrero,Universidad de Chile,906105,3161
0,2,0,3,100.0,2,100.0,0,0.0,1,0,72.77,5,100.0,1350,2,0,0,15,44,28,14,20,1,7,10,3,10,11,0,350,1,0,0.0,78,37.86,0,15,0,0,0,0,0,0.0,0,0,,0,1,0,6.79,Tomás Ahumada,Audax Italiano,975882,3162
0,2,0,31,59.62,55,57.89,0,0.0,22,0,90.6,86,58.5,1350,9,9,2,15,0,0,0,20,2,0,0,0,0,28,0,501,2,0,0.0,25,67.57,26,107,11,3,11,3,0,0.0,0,1,,0,2,0,6.79,Rafael Caroca,Huachipato,36995,3164
0,1,0,0,0.0,3,100.0,0,0.0,0,0,73.03,3,100.0,630,0,0,0,7,23,16,7,11,1,10,2,3,2,5,0,111,0,0,0.0,26,39.39,0,7,0,0,0,0,0,0.0,0,0,,0,1,0,6.79,César Dutra,Deportes Concepción,158269,3160
1,1,0,23,44.23,0,0.0,2,22.22,6,1,77.78,23,40.35,791,15,7,9,13,0,0,0,11,1,0,0,0,0,87,1,231,15,13,22.81,20,46.51,1,3,6,0,14,4,3,7.14,1,3,,0,0,0,6.78,Leonardo Valencia,Deportes Concepción,790010,3160
0,2,0,14,46.67,4,100.0,2,50.0,8,0,73.01,18,52.94,394,4,5,2,6,0,0,0,5,0,0,0,0,0,34,3,119,8,9,21.95,20,47.62,5,14,8,0,2,0,0,0.0,1,1,,0,0,0,6.78,Sebastián Cabrera,Coquimbo Unido,974008,3165
0,0,0,24,54.55,1,33.33,11,52.38,6,2,79.89,25,53.19,744,7,1,5,11,0,0,0,9,2,0,0,0,0,106,0,302,11,7,29.17,29,63.04,6,7,4,3,11,4,3,0.0,0,1,,1,0,0,6.78,César Yanis,Cobresal,1021117,3167
2,4,0,22,34.92,59,62.11,4,28.57,14,2,66.67,81,51.27,969,4,17,10,14,0,0,0,10,3,0,0,0,0,93,1,218,12,10,25.0,4,30.77,4,24,10,2,25,8,4,8.0,0,4,,0,0,0,6.78,Gabriel Graciani,Ñublense,584418,7029
1,1,0,21,52.5,7,35.0,2,28.57,16,0,81.3,28,46.67,666,3,9,2,14,0,0,0,10,2,0,0,0,0,62,0,213,4,0,0.0,10,43.48,5,15,3,0,5,3,0,20.0,0,0,,0,0,0,6.78,Misael Llantén,Deportes Limache,863124,331131
0,2,0,20,55.56,38,74.51,1,50.0,16,0,72.82,58,66.67,636,4,10,2,9,0,0,0,9,1,0,0,0,0,22,0,209,1,0,0.0,24,36.92,19,52,3,0,0,0,0,0.0,0,0,,0,0,0,6.78,Andrés Zanini,Deportes La Serena,872138,5031
1,5,1,26,53.06,42,63.64,1,50.0,19,0,85.07,68,59.13,1011,6,15,3,12,0,0,0,15,0,0,0,0,0,34,0,376,1,0,0.0,28,50.91,18,71,4,1,4,2,1,25.0,0,0,,0,2,0,6.78,Manuel Fernández,Coquimbo Unido,889498,3165
0,4,0,27,55.1,5,33.33,5,71.43,14,1,82.89,32,50.0,521,8,4,10,8,0,0,0,3,2,0,0,0,0,50,1,252,4,1,25.0,20,51.28,8,14,7,0,4,0,0,0.0,0,0,,0,0,0,6.78,Lucas Barrera,Universidad de Chile,2184978,3161
0,1,0,6,60.0,4,57.14,0,0.0,6,0,77.33,10,58.82,172,0,2,0,4,0,0,0,3,0,0,0,0,0,11,0,58,4,2,40.0,2,28.57,1,11,2,0,1,0,1,0.0,0,0,,0,0,0,6.78,Antonio Ceza,Palestino,1116992,3157
0,0,0,20,57.14,2,66.67,12,60.0,4,1,82.24,22,57.89,551,4,1,7,11,0,0,0,2,2,0,0,0,0,86,1,176,9,3,21.43,7,70.0,4,1,0,0,14,4,3,0.0,0,0,,0,0,0,6.77,Lucas Assadi,Universidad de Chile,1002939,3161
0,2,0,10,38.46,5,38.46,1,25.0,5,0,78.57,15,38.46,397,4,7,2,7,0,0,0,4,1,0,0,0,0,41,0,132,9,7,35.0,13,46.43,3,12,4,0,1,0,1,0.0,0,0,,0,0,0,6.77,Bernardo Cerezo,Universidad Católica,818693,3151
